field_1,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat,centroid_x,centroid_y,KG
12,Balkhash,Kazakhstan,Asia,SWBD,1,0,16717.89,3092.2,6.75,111500.0,0.0,1,6.7,470.083,2745.3,338,-1.0,404800.5,74.602083,46.385417,73.93130058,45.932398,5
19,Selawik,United States of America,North America,Other,1,0,1058.07,170.52,1.48,4232.28,0.0,1,4.0,430.702,113.7,0,-1.0,30059.9,-161.21875,66.577083,-160.6877554,66.50987862,27
27,Martre,Canada,North America,CanVec,1,0,1679.89,1086.73,7.48,16798.9,0.0,1,10.0,17.55,11078.7,249,-1.0,13423.7,-117.132493,63.098255,-118.0572706,63.33532023,27
31,Iliamna,United States of America,North America,NHD,1,0,2634.62,1006.79,5.53,115310.0,0.0,1,43.8,354.811,3761.5,13,-1.0,16869.4,-155.884538,59.331889,-155.1164468,59.55920362,27
32,Wollaston,Canada,North America,CanVec,1,0,2269.59,3819.45,22.62,45865.0,0.0,1,20.2,101.461,5232.0,395,-1.0,17770.0,-102.757556,58.811965,-103.1942431,58.28720964,27
34,Claire,Canada,North America,CanVec,1,0,1332.93,642.99,4.97,1700.0,0.0,1,1.3,46.537,422.8,207,-1.0,21416.2,-111.703703,58.628837,-112.0709324,58.57238141,27
36,Cree,Canada,North America,CanVec,1,0,1155.15,2054.47,17.05,17211.73,0.0,1,14.9,23.397,8514.3,482,-1.0,3963.4,-106.302082,57.706249,-106.2420699,57.45771575,27
37,Southern Indian,Canada,North America,Other,3,702,2307.45,5062.59,29.73,23380.0,4463.0,1,10.1,991.698,272.9,256,-1.0,265491.1,-98.132949,57.361625,-98.61924314,57.09425918,27
38,Reindeer,Canada,North America,Other,3,706,5435.48,9267.45,35.46,92403.16,14860.0,1,17.0,355.998,3004.2,335,-1.0,62727.5,-103.149606,56.234185,-102.2951479,57.20619323,27
41,La Ronge,Canada,North America,CanVec,1,0,1296.47,1911.67,14.98,16465.17,0.0,1,12.7,54.965,3467.1,360,-1.0,15256.8,-104.557901,55.316887,-104.8521118,55.11387197,26
42,Lesser Slave,Canada,North America,CanVec,1,0,1186.51,314.63,2.58,13526.56,0.0,1,11.4,43.347,3611.7,572,-1.0,13479.0,-114.773391,55.306762,-115.7251909,55.41564546,27
